AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
223.8015126,40.00360269,0.024019232,-1.992549977,0.038723775,6.127988662
220.801431,41.25042656,0.025501041,-2.038120515,0.031329981,6.31170263
220.8700717,41.54703428,0.025859568,-2.058924878,0.033743048,6.281963887
221.835605,41.23345482,0.025480596,-2.162771774,0.031726385,6.258974224
221.0013724,41.66493389,0.02600272,-2.080531955,0.033055612,6.281765899
236.3266017,22.48331059,0.007713954,-0.372707052,0.032739978,5.563464611
233.655692,23.96192527,0.008752761,-0.422056043,0.027058954,5.787368511
234.2843632,23.35980269,0.008322018,-0.377917592,0.029149287,5.721886667
235.2218416,22.32016842,0.007603261,-0.360589755,0.030641722,5.622384604
233.2710337,24.74594992,0.009329474,-0.443130979,0.027581149,5.793047149
222.9620565,43.09201492,0.027764181,-2.205073177,0.036918239,6.096084965
218.0547222,45.84032539,0.031304188,-2.293229813,0.029431602,6.360594972
219.7930818,44.95435554,0.030141951,-2.178078663,0.031450848,6.266990154
220.9775253,44.17318705,0.029133758,-2.220975218,0.03216568,6.197163993
217.8199597,47.37879741,0.033369389,-2.538455977,0.031587565,6.31144423
233.7369378,33.77631755,0.017242124,-1.415784915,0.061823616,5.440956036
230.6446508,36.20727593,0.019762534,-1.585747187,0.049532874,5.694368305
230.8243383,35.3743167,0.018880678,-1.429112578,0.052374244,5.664213816
232.7481587,33.82374941,0.017289746,-1.40074283,0.051070555,5.590320688
230.6735197,36.56938161,0.020151792,-1.634280181,0.053872295,5.667188913
228.4054699,29.89058822,0.013553828,-0.767420978,0.023143106,6.113645315
223.997449,32.11179706,0.015610465,-0.822725532,0.018703948,6.349918063
224.7441176,31.89518156,0.015403803,-0.789982857,0.019079722,6.309040384
227.245805,29.70797481,0.013390933,-0.738695474,0.0201192,6.186379722
224.7654762,32.17571147,0.015671694,-0.860393398,0.019886336,6.304543066
225.8562227,31.696012,0.015214943,-1.049503327,0.019942866,6.22627409
222.1645708,33.78780684,0.017253654,-1.151435134,0.017192184,6.401010687
222.076612,33.4194886,0.01688586,-1.014379741,0.017330729,6.405167055
223.7151282,32.67340789,0.016152374,-1.062756539,0.018597429,6.31609021
222.2973356,34.46984464,0.01794462,-1.194878332,0.018069353,6.395928468
209.401896,38.73374499,0.022552366,-0.979860033,0.016804787,6.772390233
205.4486216,41.12360114,0.025348443,-1.147821871,0.014314553,6.904088116
208.5185899,37.93048001,0.021646716,-0.88194948,0.014424988,6.820706178
209.4978735,38.04426226,0.021773949,-0.949135836,0.016269422,6.768836931
206.7335758,39.63347708,0.023587256,-1.000829945,0.014933929,6.854877568
211.6087258,39.52899899,0.023465978,-1.283197872,0.018761311,6.715529605
208.1056833,41.19475293,0.025434002,-1.298284123,0.018078987,6.796269987
210.6706599,39.98227835,0.023994245,-1.333781815,0.017395273,6.756020165
209.8394777,39.7419813,0.023713516,-1.163986176,0.017546561,6.765520406
208.1933376,41.41542141,0.025700195,-1.348474527,0.016888966,6.821057567
223.1368611,36.58122927,0.020164588,-1.452762882,0.021945165,6.323036925
223.3411911,35.64676855,0.019167039,-1.279844963,0.022037662,6.31519865
225.0521468,33.8598816,0.017326065,-1.210899171,0.021741492,6.243012144
222.9827586,36.04285341,0.019586961,-1.38469309,0.022204452,6.32624311
226.3228662,34.87750615,0.018363738,-1.387566852,0.025109513,6.159991893
219.5906433,40.51056265,0.024616792,-1.843908388,0.027354119,6.396756113
220.5076503,39.9204378,0.023921853,-1.840334912,0.029926976,6.33305071
218.8724401,40.62797585,0.024756157,-1.757972632,0.02776285,6.414762524
217.6540899,41.0957266,0.025314961,-1.83044799,0.025156357,6.482195977
222.0758509,39.69333884,0.023656875,-1.87636077,0.033791422,6.242696685
210.6040313,50.30707104,0.037462384,-2.968866126,0.039855829,6.517572721
208.0126263,50.91299253,0.038335444,-2.91105087,0.032916528,6.653992126
210.0137989,50.35392523,0.037529579,-2.900903011,0.036642106,6.562123624
210.2057143,49.60196023,0.036457606,-2.791478662,0.034074629,6.590523459
207.4213836,51.95383734,0.039855785,-3.088208534,0.031698321,6.680568387
226.7818847,31.12442498,0.014679119,-1.006119488,0.020560185,6.167710504
223.5648148,32.74024399,0.01621745,-1.084819017,0.018019406,6.336708926
223.5899504,32.59105674,0.016072361,-0.986342139,0.017933141,6.336359926
225.4193548,31.18408295,0.014734616,-0.970905656,0.019267734,6.229057828
223.0974702,34.21127385,0.017681154,-1.197116798,0.018273611,6.353975074
212.7045803,37.89425872,0.021606286,-1.212594302,0.014589268,6.742711874
211.0445445,38.45986886,0.022241638,-1.226409626,0.013820627,6.793395837
210.8658436,38.49956317,0.022286549,-1.158948148,0.014362267,6.786421297
199.4109402,38.31399758,0.022076959,-0.499448091,0.009367171,7.031396357
212.5955096,37.68971007,0.021378633,-1.194136633,0.01431722,6.748681369
210.1861852,40.28686224,0.024352276,-1.397786999,0.01434398,6.815052495
224.4222783,32.67506205,0.016153983,-1.033340906,0.021103508,6.289589271
221.4080688,34.16535664,0.01763456,-1.100830581,0.019051258,6.421495647
222.0384532,33.43589683,0.016902165,-0.991711786,0.01898586,6.402151718
222.464203,33.30563184,0.016772926,-1.029823206,0.019336779,6.377192936
221.5639149,34.53036109,0.018006548,-1.143078706,0.018826716,6.418006604
203.3233831,41.64146278,0.025974193,-0.987599973,0.015581903,6.912831893
199.8867857,43.43635647,0.02819711,-1.068537184,0.014530896,6.991332429
199.5875969,43.67287667,0.02849625,-1.049042349,0.014734643,6.992338933
201.8052334,42.42501245,0.026934304,-0.98765526,0.014771605,6.954622872
201.532426,42.47244402,0.026992937,-1.014180499,0.014431108,6.967482769
